Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-08-23 00:00:03.735	1426	1182	573	0
2016-08-23 00:00:21.735	1195	984	487	0
2016-08-23 00:00:39.735	1584	1211	649	0
2016-08-23 00:00:57.735	1252	1019	523	0
2016-08-23 00:01:15.735	1386	1126	582	0
2016-08-23 00:01:33.735	1243	1042	526	0
2016-08-23 00:01:51.735	1796	1452	746	0
2016-08-23 00:02:09.735	1200	994	514	0
2016-08-23 00:02:27.735	3983	3249	1763	0
2016-08-23 00:02:45.735	1388	1136	559	0
2016-08-23 00:03:03.735	1357	1070	530	0
2016-08-23 00:03:21.735	8908	7422	3967	0
2016-08-23 00:03:39.735	12083	10091	5520	0
2016-08-23 00:03:57.735	12546	10420	5737	0
2016-08-23 00:04:15.735	11807	9805	5288	0
2016-08-23 00:04:33.735	12084	10064	5389	0
2016-08-23 00:04:51.735	12004	9892	5412	0
2016-08-23 00:05:09.735	12346	10292	5589	0
2016-08-23 00:05:27.735	12023	9958	5503	0
2016-08-23 00:05:45.735	11327	9441	5141	0
2016-08-23 00:06:03.735	12353	10287	5513	0
2016-08-23 00:06:21.735	12137	10080	5520	0
2016-08-23 00:06:39.735	11795	9886	5244	0
2016-08-23 00:06:57.735	12208	10231	5579	0
2016-08-23 00:07:15.735	12187	10219	5534	0
2016-08-23 00:07:33.735	12326	10216	5527	0
2016-08-23 00:07:51.735	11604	9631	5258	0
2016-08-23 00:08:09.735	12220	10181	5578	0
2016-08-23 00:08:27.735	12283	10118	5518	0
2016-08-23 00:08:45.735	11329	9377	5127	0
2016-08-23 00:09:03.735	12139	10110	5512	0
2016-08-23 00:09:21.735	12078	9930	5370	0
2016-08-23 00:09:39.735	12645	10531	5761	0
2016-08-23 00:09:57.735	11939	9876	5391	0
2016-08-23 00:10:15.735	12743	10605	5710	0
2016-08-23 00:10:33.735	12433	10319	5543	0
2016-08-23 00:10:51.735	11904	9911	5427	0
2016-08-23 00:11:09.735	11815	9862	5304	0
2016-08-23 00:11:27.735	11827	9770	5354	0
2016-08-23 00:11:45.735	12538	10444	5721	0
2016-08-23 00:12:03.735	12441	10277	5602	0
2016-08-23 00:12:21.735	11915	9853	5374	0
2016-08-23 00:12:39.735	12147	10134	5504	0
2016-08-23 00:12:57.735	12377	10272	5552	0
2016-08-23 00:13:15.735	11812	9822	5333	0
2016-08-23 00:13:33.735	11252	9420	5039	0
2016-08-23 00:13:51.735	12161	10097	5514	0
2016-08-23 00:14:09.735	12304	10294	5532	0
2016-08-23 00:14:27.735	12495	10428	5637	0
2016-08-23 00:14:45.735	12258	10204	5585	0
2016-08-23 00:15:03.735	12090	10027	5396	0
2016-08-23 00:15:21.735	12398	10391	5633	0
2016-08-23 00:15:39.735	11802	9714	5310	0
2016-08-23 00:15:57.735	12266	10153	5477	0
2016-08-23 00:16:15.735	12125	10019	5449	0
2016-08-23 00:16:33.735	12219	9942	5506	0
2016-08-23 00:16:51.735	12146	10134	5468	0
2016-08-23 00:17:09.735	12018	10037	5416	0
2016-08-23 00:17:27.735	12665	10474	5707	0
2016-08-23 00:17:45.735	12747	10571	5675	0
2016-08-23 00:18:03.735	11778	9852	5365	0
2016-08-23 00:18:21.735	12594	10574	5736	0
2016-08-23 00:18:39.735	12273	10158	5640	0
2016-08-23 00:18:57.735	12036	10019	5388	0
2016-08-23 00:19:15.735	11752	9826	5268	0
2016-08-23 00:19:33.735	12036	10091	5377	0
2016-08-23 00:19:51.735	12717	10515	5673	0
2016-08-23 00:20:09.735	11631	9667	5273	0
2016-08-23 00:20:27.735	12380	10380	5649	0
2016-08-23 00:20:45.735	12339	10272	5569	0
2016-08-23 00:21:03.735	12376	10397	5566	0
2016-08-23 00:21:21.735	12715	10428	5715	0
2016-08-23 00:21:39.735	11742	9681	5244	0
2016-08-23 00:21:57.735	12359	10234	5575	0
2016-08-23 00:22:15.735	11453	9558	5155	0
2016-08-23 00:22:33.735	11890	9854	5338	0
2016-08-23 00:22:51.735	11539	9506	5213	0
2016-08-23 00:23:09.735	12432	10300	5488	0
2016-08-23 00:23:27.735	11830	9909	5426	0
2016-08-23 00:23:45.735	12531	10438	5676	0
2016-08-23 00:24:03.735	71	76	0	0
2016-08-23 00:24:21.735	10794	8941	4895	0
2016-08-23 00:24:39.735	10219	8383	4563	0
2016-08-23 00:24:57.735	11661	9713	5274	0
2016-08-23 00:25:15.735	12933	10757	5852	0
2016-08-23 00:25:33.735	12833	10702	5756	0
2016-08-23 00:25:51.735	11735	9692	5317	0
2016-08-23 00:26:09.735	12149	10075	5486	0
2016-08-23 00:26:27.735	11959	9886	5390	0
2016-08-23 00:26:45.735	12494	10386	5596	0
2016-08-23 00:27:03.735	12137	10119	5479	0
