Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-08-10 00:00:06.135	0	0	0	0
2016-08-10 00:00:24.135	0	0	0	0
2016-08-10 00:00:56.535	0	0	0	0
2016-08-10 00:01:14.535	0	0	0	0
2016-08-10 00:01:46.935	0	0	0	0
2016-08-10 00:02:04.935	0	0	0	0
2016-08-10 00:02:37.335	0	0	0	0
2016-08-10 00:02:55.335	0	0	0	0
2016-08-10 00:03:27.735	0	0	0	0
2016-08-10 00:03:45.735	0	0	0	0
2016-08-10 00:04:18.135	0	0	0	0
2016-08-10 00:04:36.135	0	0	0	0
2016-08-10 00:05:08.535	0	0	0	0
2016-08-10 00:05:26.535	0	0	0	0
2016-08-10 00:05:58.935	0	0	0	0
2016-08-10 00:06:16.935	0	0	0	0
2016-08-10 00:06:49.335	0	0	0	0
2016-08-10 00:07:07.335	0	0	0	0
2016-08-10 00:07:39.735	0	0	0	0
2016-08-10 00:07:57.735	0	0	0	0
2016-08-10 00:08:30.135	0	0	0	0
2016-08-10 00:08:48.135	0	0	0	0
2016-08-10 00:09:20.535	0	0	0	0
2016-08-10 00:09:38.535	0	0	0	0
2016-08-10 00:10:10.935	0	0	0	0
2016-08-10 00:10:28.935	0	0	0	0
2016-08-10 00:11:01.335	0	0	0	0
2016-08-10 00:11:19.335	0	0	0	0
2016-08-10 00:11:51.735	0	0	0	0
2016-08-10 00:12:09.735	0	0	0	0
2016-08-10 00:12:42.135	0	0	0	0
2016-08-10 00:13:00.135	0	0	0	0
2016-08-10 00:13:32.535	0	0	0	0
2016-08-10 00:13:50.535	0	0	0	0
2016-08-10 00:14:22.935	0	0	0	0
2016-08-10 00:14:40.935	0	0	0	0
2016-08-10 00:15:13.335	0	0	0	0
2016-08-10 00:15:31.335	0	0	0	0
2016-08-10 00:16:03.735	0	0	0	0
2016-08-10 00:16:21.735	0	0	0	0
2016-08-10 00:16:54.135	0	0	0	0
2016-08-10 00:17:12.135	0	0	0	0
2016-08-10 00:17:44.535	0	0	0	0
2016-08-10 00:18:02.535	0	0	0	0
2016-08-10 00:18:34.935	0	0	0	0
2016-08-10 00:18:52.935	0	0	0	0
2016-08-10 00:19:25.335	0	0	0	0
2016-08-10 00:19:43.335	0	0	0	0
2016-08-10 00:20:15.735	0	0	0	0
2016-08-10 00:20:33.735	0	0	0	0
2016-08-10 00:21:06.135	0	0	0	0
2016-08-10 00:21:24.135	0	0	0	0
2016-08-10 00:21:56.535	0	0	0	0
2016-08-10 00:22:14.535	0	0	0	0
2016-08-10 00:22:46.935	0	0	0	0
2016-08-10 00:23:04.935	0	0	0	0
2016-08-10 00:23:37.335	0	0	0	0
2016-08-10 00:23:55.335	0	0	0	0
2016-08-10 00:24:27.735	0	0	0	0
2016-08-10 00:24:45.735	0	0	0	0
2016-08-10 00:25:18.135	0	0	0	0
2016-08-10 00:25:36.135	0	0	0	0
2016-08-10 00:26:08.535	0	0	0	0
2016-08-10 00:26:26.535	0	0	0	0
2016-08-10 00:26:58.935	0	0	0	0
2016-08-10 00:27:16.935	0	0	0	0
2016-08-10 00:27:49.335	0	0	0	0
2016-08-10 00:28:07.335	0	0	0	0
2016-08-10 00:28:39.735	0	0	0	0
2016-08-10 00:28:57.735	0	0	0	0
2016-08-10 00:29:30.135	0	0	0	0
2016-08-10 00:29:48.135	0	0	0	0
2016-08-10 00:30:20.535	0	0	0	0
2016-08-10 00:30:38.535	0	0	0	0
2016-08-10 00:31:10.935	0	0	0	0
2016-08-10 00:31:28.935	0	0	0	0
2016-08-10 00:32:01.335	0	0	0	0
2016-08-10 00:32:19.335	0	0	0	0
2016-08-10 00:32:51.735	0	0	0	0
2016-08-10 00:33:09.735	0	0	0	0
2016-08-10 00:33:42.135	0	0	0	0
2016-08-10 00:34:00.135	0	0	0	0
2016-08-10 00:34:32.535	0	0	0	0
2016-08-10 00:34:50.535	0	0	0	0
2016-08-10 00:35:22.935	0	0	0	0
2016-08-10 00:35:40.935	0	0	0	0
2016-08-10 00:36:13.335	0	0	0	0
2016-08-10 00:36:31.335	0	0	0	0
2016-08-10 00:37:03.735	0	0	0	0
2016-08-10 00:37:21.735	0	0	0	0
2016-08-10 00:37:54.135	0	0	0	0
2016-08-10 00:38:12.135	0	0	0	0
2016-08-10 00:38:44.535	0	0	0	0
2016-08-10 00:39:02.535	0	0	0	0
2016-08-10 00:39:34.935	0	0	0	0
2016-08-10 00:39:52.935	0	0	0	0
2016-08-10 00:40:25.335	0	0	0	0
2016-08-10 00:40:43.335	0	0	0	0
2016-08-10 00:41:15.735	0	0	0	0
2016-08-10 00:41:33.735	0	0	0	0
2016-08-10 00:42:06.135	0	0	0	0
2016-08-10 00:42:24.135	0	0	0	0
2016-08-10 00:42:56.535	0	0	0	0
2016-08-10 00:43:14.535	0	0	0	0
2016-08-10 00:43:46.935	0	0	0	0
2016-08-10 00:44:04.935	0	0	0	0
2016-08-10 00:44:37.335	0	0	0	0
2016-08-10 00:44:55.335	0	0	0	0
2016-08-10 00:45:27.735	0	0	0	0
2016-08-10 00:45:45.735	0	0	0	0
2016-08-10 00:46:18.135	0	0	0	0
2016-08-10 00:46:36.135	0	0	0	0
2016-08-10 00:47:08.535	0	0	0	0
2016-08-10 00:47:26.535	0	0	0	0
2016-08-10 00:47:58.935	0	0	0	0
2016-08-10 00:48:16.935	0	0	0	0
2016-08-10 00:48:49.335	0	0	0	0
2016-08-10 00:49:07.335	0	0	0	0
2016-08-10 00:49:39.735	0	0	0	0
2016-08-10 00:49:57.735	0	0	0	0
2016-08-10 00:50:30.135	0	0	0	0
2016-08-10 00:50:48.135	0	0	0	0
2016-08-10 00:51:20.535	0	0	0	0
2016-08-10 00:51:38.535	0	0	0	0
2016-08-10 00:52:10.935	0	0	0	0
2016-08-10 00:52:28.935	0	0	0	0
2016-08-10 00:53:01.335	0	0	0	0
2016-08-10 00:53:19.335	0	0	0	0
2016-08-10 00:53:51.735	0	0	0	0
2016-08-10 00:54:09.735	0	0	0	0
2016-08-10 00:54:42.135	0	0	0	0
2016-08-10 00:55:00.135	0	0	0	0
2016-08-10 00:55:32.535	0	0	0	0
2016-08-10 00:55:50.535	0	0	0	0
2016-08-10 00:56:22.935	0	0	0	0
2016-08-10 00:56:40.935	0	0	0	0
2016-08-10 00:57:13.335	0	0	0	0
2016-08-10 00:57:31.335	0	0	0	0
2016-08-10 00:58:03.735	0	0	0	0
2016-08-10 00:58:21.735	0	0	0	0
2016-08-10 00:58:54.135	0	0	0	0
2016-08-10 00:59:12.135	0	0	0	0
2016-08-10 00:59:44.535	0	0	0	0
2016-08-10 01:00:02.535	0	0	0	0
2016-08-10 01:00:34.935	0	0	0	0
2016-08-10 01:00:52.935	0	0	0	0
2016-08-10 01:01:25.335	0	0	0	0
2016-08-10 01:01:43.335	0	0	0	0
2016-08-10 01:02:15.735	0	0	0	0
2016-08-10 01:02:33.735	0	0	0	0
2016-08-10 01:03:06.135	0	0	0	0
2016-08-10 01:03:24.135	0	0	0	0
2016-08-10 01:03:56.535	0	0	0	0
2016-08-10 01:04:14.535	0	0	0	0
